time [ms];Setpoint position [mm];Actual position value encoder channel 1 [mm];Setpoint value velocity controller [m/s];Actual velocity value encoder channel 1 [m/s];Setpoint value active current [Arms];Actual active current value [Arms];Position control error [mm]
127.500012516975;52.8155669;52.8134913;-0.05789635;-0.05834401;-0.2079374;-0.1667569;0.0020756
128.56251001358;52.7493859;52.7491779;-0.05906634;-0.0575621;-0.2568473;-0.2830041;0.0002080
129.625007510185;52.6903750;52.6913018;-0.05910326;-0.05777298;-0.2579466;-0.2023826;-0.0009268
130.68750500679;52.6240000;52.6255579;-0.05909024;-0.05824042;-0.2450102;-0.1951156;-0.0015579
131.750002503395;52.5650000;52.5664301;-0.059576;-0.05880174;-0.2220971;-0.2815648;-0.0014301
132.8125;52.4987652;52.4996133;-0.05794377;-0.05916039;-0.09779119;-0.053041;-0.0008481
133.875012397766;52.4406400;52.4411411;-0.05897835;-0.05869187;-0.2465034;-0.2459791;-0.0005011
134.937509894371;52.3743403;52.3750992;-0.0588007;-0.0587305;-0.2492111;-0.2452887;-0.0007589
136.000007390976;52.3149644;52.3158521;-0.06026817;-0.059093;-0.2622841;-0.2428114;-0.0008877
137.062504887581;52.2478333;52.2484393;-0.05907045;-0.05963558;-0.1347044;-0.09284991;-0.0006060
138.125002384186;52.1888750;52.1890731;-0.05902207;-0.05943834;-0.1689674;-0.1901236;-0.0001981
139.187514781952;52.1225000;52.1228523;-0.05903925;-0.05901164;-0.1931457;-0.1456544;-0.0003523
140.250012278557;52.0634766;52.0637841;-0.05903426;-0.05905836;-0.1758427;-0.1915641;-0.0003075
141.312509775162;51.9972539;51.9967885;-0.05905394;-0.05943537;-0.2524053;-0.2497801;0.0004654
142.375007271767;51.9374248;51.9363494;-0.05987073;-0.06011872;-0.1150615;-0.1299738;0.0010754
143.437504768372;51.8707109;51.8680424;-0.05856726;-0.0604492;-0.04949006;-0.05800152;0.0026685
144.500002264977;51.8118560;51.8086166;-0.0589021;-0.05974291;-0.2057876;-0.233036;0.0032394
145.562514662743;51.7444575;51.7420382;-0.05946514;-0.05936525;-0.09058758;-0.1428598;0.0024193
146.625012159348;51.6853545;51.6833873;-0.05862196;-0.05888775;-0.139461;-0.1126316;0.0019672
147.687509655952;51.6190000;51.6184182;-0.06010184;-0.05815257;-0.3293482;-0.3909615;0.0005818
148.750007152557;51.5590000;51.5597076;-0.05891217;-0.05853097;-0.1556599;-0.145556;-0.0007076
149.812504649162;51.4924752;51.4932484;-0.0603062;-0.05890866;-0.2807955;-0.3042313;-0.0007732
150.875002145767;51.4326402;51.4334054;-0.05893454;-0.05952304;-0.1312927;-0.1471388;-0.0007652
