time [ms];Setpoint position [mm];Actual position value encoder channel 1 [mm];Setpoint value velocity controller [m/s];Actual velocity value encoder channel 1 [m/s];Target position CiA402 [mm]
128.000006079674;47.2317173;47.0672458;0.148312;0.0438145;47.2590000
129.000008106232;47.2622739;47.1465796;8.569099E-05;0.06277069;47.4070000
130.00001013279;47.2615293;47.1686929;0.003020687;0.03610086;47.4070000
131.000012159348;47.2433184;47.1597523;0.04823781;0.008595435;47.4070000
131.999999284744;47.3799004;47.2164958;0.1473207;0.04257412;47.4070000
133.000001311302;47.4102520;47.2960680;3.350899E-06;0.06248501;47.5550000
134.00000333786;47.4095293;47.3194331;0.002715381;0.0367431;47.5550000
135.000005364418;47.3913184;47.3109097;0.04788602;0.008950815;47.5550000
136.000007390976;47.5279004;47.3671764;0.1470221;0.04241696;47.5550000
137.000009417534;47.5582520;47.4450201;-0.0001027305;0.06125651;47.7020000
138.000011444092;47.5575122;47.4648088;0.003055347;0.03406997;47.7020000
139.00001347065;47.5394243;47.4535436;0.04823268;0.006409953;47.7020000
140.000000596046;47.6750835;47.5092739;0.1467163;0.04103534;47.7020000
141.000002622604;47.7052300;47.5861043;0.0006398773;0.06008119;47.8480000
142.000004649162;47.7044951;47.6063102;0.003715562;0.03395913;47.8480000
143.00000667572;47.6865303;47.5968928;0.04838823;0.007480075;47.8480000
144.000008702278;47.8212666;47.6538747;0.1460202;0.04222966;47.8480000
145.000010728836;47.8512080;47.7326721;0.0006601028;0.06176235;47.9940000
146.000012755394;47.8504951;47.7539509;0.003532759;0.03520139;47.9940000
146.999999880791;47.8325303;47.7445931;0.04819878;0.008024288;47.9940000
148.000001907349;47.9672666;47.8021115;0.145771;0.04278708;47.9940000
149.000003933907;47.9972080;47.8809684;0.0004042555;0.06204258;48.1390000
150.000005960464;47.9964780;47.9030221;0.003238148;0.03581177;48.1390000
151.000007987022;47.9786362;47.8946180;0.04749912;0.008732449;48.1390000
152.00001001358;48.1124497;47.9504674;0.144545;0.04196605;48.1390000
153.000012040138;48.1421860;48.0298012;6.070361E-05;0.06217705;48.2830000
