time [ms];Setpoint position [mm];Actual position value encoder channel 1 [mm];Setpoint value velocity controller [m/s];Actual velocity value encoder channel 1 [m/s];Target position CiA402 [mm];Position control error [mm]
104.125007987022;80.0000000;80.0000042;0;6.786386E-06;80.0000000;-0.0000042
105.187505483627;80.0000000;80.0000042;0;4.927713E-06;80.0000000;-0.0000042
106.250002980232;80.0000000;80.0000042;0;5.589248E-06;80.0000000;-0.0000042
107.312507927418;80.0000000;80.0000042;0;1.936336E-06;80.0000000;-0.0000042
108.375005424023;80.0000000;80.0000638;-7.108439E-06;2.688704E-05;80.0000000;-0.0000638
109.437502920628;80.0000000;80.0000638;-7.108439E-06;9.314729E-06;80.0000000;-0.0000638
110.500007867813;80.0000000;80.0000638;-7.108439E-06;3.630363E-06;80.0000000;-0.0000638
111.562505364418;80.0000000;79.9999447;6.16139E-06;-6.529986E-05;80.0000000;0.0000553
112.625002861023;80.0000000;79.9998851;1.280188E-05;-6.265824E-05;80.0000000;0.0001149
113.687507808208;80.0000000;79.9998851;1.280188E-05;-2.170728E-05;80.0000000;0.0001149
114.750005304813;80.0000000;80.0000042;0;6.471958E-05;80.0000000;-0.0000042
115.812502801418;80.0000000;80.0000638;-7.108439E-06;7.539919E-05;80.0000000;-0.0000638
116.875007748604;80.0000000;80.0000638;-7.108439E-06;2.938641E-05;80.0000000;-0.0000638
117.937505245209;80.0000000;80.0000043;0;-2.283767E-05;80.0000000;-0.0000043
119.000002741814;80.0000000;80.0000043;0;-8.900851E-06;80.0000000;-0.0000043
120.062507688999;80.0000000;79.9999447;6.16139E-06;-4.494259E-05;80.0000000;0.0000553
121.125005185604;80.0000000;79.9999447;6.16139E-06;-1.751612E-05;80.0000000;0.0000553
122.18751013279;80.0000000;80.0000042;0;2.32813E-05;80.0000000;-0.0000042
123.250007629395;80.0000000;80.0000638;-7.108439E-06;4.628174E-05;80.0000000;-0.0000638
124.312505125999;80.0000000;80.0000043;0;-1.005469E-05;80.0000000;-0.0000043
125.375002622604;80.0000000;80.0000043;0;-3.918759E-06;80.0000000;-0.0000043
126.437500119209;80.0000000;80.0000638;-7.108439E-06;2.183217E-05;80.0000000;-0.0000638
127.500012516975;80.0000000;80.0000638;-7.108439E-06;8.508967E-06;80.0000000;-0.0000638
128.56251001358;80.0000000;79.9999447;6.16139E-06;-4.927303E-05;80.0000000;0.0000553
129.625007510185;80.0000000;79.9999447;6.16139E-06;-1.920389E-05;80.0000000;0.0000553
130.68750500679;80.0000000;80.0000042;0;1.943553E-05;80.0000000;-0.0000042
131.750002503395;80.0000000;80.0000042;0;7.574889E-06;80.0000000;-0.0000042
132.8125;80.0000000;80.0000042;0;2.62424E-06;80.0000000;-0.0000042
133.875012397766;80.0000000;80.0000042;0;4.283845E-06;80.0000000;-0.0000042
134.937509894371;80.0000000;79.9999447;6.16139E-06;-2.537439E-05;80.0000000;0.0000553
136.000007390976;80.0000000;80.0000042;0;4.299937E-05;80.0000000;-0.0000042
137.062504887581;80.0000000;80.0000638;-7.108439E-06;6.787445E-05;80.0000000;-0.0000638
138.125002384186;80.0000000;80.0000638;-7.108439E-06;2.645369E-05;80.0000000;-0.0000638
139.187514781952;80.0000000;80.0000638;-7.108439E-06;9.1646E-06;80.0000000;-0.0000638
140.250012278557;80.0000000;80.0000638;-7.108439E-06;3.571851E-06;80.0000000;-0.0000638
141.312509775162;80.0000000;80.0000043;0;-2.485108E-05;80.0000000;-0.0000043
142.375007271767;80.0000000;80.0000043;0;-9.685568E-06;80.0000000;-0.0000043
143.437504768372;80.0000000;80.0000043;0;-3.355463E-06;80.0000000;-0.0000043
144.500002264977;80.0000000;80.0000638;-7.108439E-06;2.188202E-05;80.0000000;-0.0000638
145.562514662743;80.0000000;80.0000042;0;-2.905461E-05;80.0000000;-0.0000042
146.625012159348;80.0000000;80.0000638;-7.108439E-06;1.190489E-05;80.0000000;-0.0000638
147.687509655952;80.0000000;80.0000638;-7.108439E-06;4.124325E-06;80.0000000;-0.0000638
148.750007152557;80.0000000;80.0000043;0;-2.158236E-05;80.0000000;-0.0000043
149.812504649162;80.0000000;79.9999447;6.16139E-06;-2.812477E-05;80.0000000;0.0000553
150.875002145767;80.0000000;79.9999447;6.16139E-06;-1.096147E-05;80.0000000;0.0000553
151.937514543533;80.0000000;79.9999447;6.16139E-06;-3.797485E-06;80.0000000;0.0000553
153.000012040138;80.0000000;80.0000042;0;2.170974E-05;80.0000000;-0.0000042
154.062509536743;80.0000000;79.9999447;6.16139E-06;-1.566868E-05;80.0000000;0.0000553
155.125007033348;80.0000000;79.9999447;6.16139E-06;-6.106779E-06;80.0000000;0.0000553
156.187504529953;80.0000000;79.9999447;6.16139E-06;-7.992177E-06;80.0000000;0.0000553
157.250002026558;80.0000000;80.0000042;0;2.333595E-05;80.0000000;-0.0000042
158.312514424324;80.0000000;79.9999447;6.16139E-06;-2.906107E-05;80.0000000;0.0000553
159.375011920929;80.0000000;79.9999447;6.16139E-06;-1.789381E-05;80.0000000;0.0000553
160.437509417534;80.0000000;79.9999447;6.16139E-06;-6.199121E-06;80.0000000;0.0000553
161.500006914139;80.0000000;79.9999447;6.16139E-06;-2.416072E-06;80.0000000;0.0000553
162.562504410744;80.0000000;80.0000042;0;2.561384E-05;80.0000000;-0.0000042
163.625001907349;80.0000000;80.0000042;0;9.982848E-06;80.0000000;-0.0000042
164.687514305115;80.0000000;80.0000042;0;3.458452E-06;80.0000000;-0.0000042
165.75001180172;80.0000000;79.9999447;6.16139E-06;-2.184188E-05;80.0000000;0.0000553
166.812509298325;80.0000000;79.9999447;6.16139E-06;-7.566886E-06;80.0000000;0.0000553
167.87500679493;80.0000000;80.0000042;0;3.104362E-05;80.0000000;-0.0000042
168.937504291534;80.0000000;80.0000638;-7.108439E-06;6.373251E-05;80.0000000;-0.0000638
170.000016689301;80.0000000;80.0000638;-7.108439E-06;2.483939E-05;80.0000000;-0.0000638
171.062514185905;80.0000000;80.0000043;0;-3.8407E-05;80.0000000;-0.0000043
172.12501168251;80.0000000;79.9998851;1.280188E-05;-8.296026E-05;80.0000000;0.0001149
173.187509179115;80.0000000;79.9998851;1.280188E-05;-2.874071E-05;80.0000000;0.0001149
174.25000667572;80.0000000;80.0000042;0;8.356501E-05;80.0000000;-0.0000042
175.312504172325;80.0000000;80.0000638;-7.108439E-06;8.192798E-05;80.0000000;-0.0000638
176.375016570091;80.0000000;80.0001234;-1.374892E-05;6.913896E-05;80.0000000;-0.0001234
177.437514066696;80.0000000;80.0000639;-7.119581E-06;-1.783629E-05;80.0000000;-0.0000639
178.500011563301;80.0000000;79.9999447;6.16139E-06;-7.309912E-05;80.0000000;0.0000553
179.562509059906;80.0000000;79.9999447;6.16139E-06;-2.532442E-05;80.0000000;0.0000553
180.625006556511;80.0000000;80.0000042;0;4.301884E-05;80.0000000;-0.0000042
181.687504053116;80.0000000;80.0000042;0;2.367391E-05;80.0000000;-0.0000042
182.750016450882;80.0000000;80.0000042;0;9.226771E-06;80.0000000;-0.0000042
183.812513947487;80.0000000;80.0000638;-7.108439E-06;2.932887E-05;80.0000000;-0.0000638
184.875011444092;80.0000000;80.0000638;-7.108439E-06;1.143076E-05;80.0000000;-0.0000638
185.937508940697;80.0000000;80.0000639;-7.119581E-06;-1.25377E-05;80.0000000;-0.0000639
187.000006437302;80.0000000;80.0000639;-7.119581E-06;-4.886499E-06;80.0000000;-0.0000639
188.062503933907;80.0000000;79.9999447;6.16139E-06;-6.829976E-05;80.0000000;0.0000553
189.125016331673;80.0000000;79.9999447;6.16139E-06;-2.661944E-05;80.0000000;0.0000553
190.187513828278;80.0000000;80.0000638;-7.108439E-06;6.278486E-05;80.0000000;-0.0000638
191.250011324883;80.0000000;80.0000638;-7.108439E-06;2.447004E-05;80.0000000;-0.0000638
192.312508821487;80.0000000;80.0000638;-7.108439E-06;8.477386E-06;80.0000000;-0.0000638
193.375006318092;80.0000000;80.0000638;-7.108439E-06;3.304014E-06;80.0000000;-0.0000638
194.437503814697;80.0000000;80.0000638;-7.108439E-06;1.144641E-06;80.0000000;-0.0000638
195.500016212463;80.0000000;80.0000638;-7.108439E-06;4.461172E-07;80.0000000;-0.0000638
196.562513709068;80.0000000;80.0000043;0;-2.303524E-05;80.0000000;-0.0000043
197.625011205673;80.0000000;80.0000043;0;-8.977855E-06;80.0000000;-0.0000043
198.687508702278;80.0000000;80.0000638;-7.108439E-06;2.62393E-05;80.0000000;-0.0000638
199.750006198883;80.0000000;80.0000638;-7.108439E-06;1.022662E-05;80.0000000;-0.0000638
200.812503695488;80.0000000;80.0000638;-7.108439E-06;8.766498E-06;80.0000000;-0.0000638
201.875016093254;80.0000000;80.0000043;0;-3.372887E-05;80.0000000;-0.0000043
202.937513589859;80.0000000;80.0000638;-7.108439E-06;1.150478E-05;80.0000000;-0.0000638
204.000011086464;80.0000000;80.0000638;-7.108439E-06;4.483922E-06;80.0000000;-0.0000638
205.062508583069;80.0000000;79.9999447;6.16139E-06;-5.471015E-05;80.0000000;0.0000553
206.125006079674;80.0000000;79.9999447;6.16139E-06;-2.132297E-05;80.0000000;0.0000553
207.18751847744;80.0000000;79.9999447;6.16139E-06;-7.387118E-06;80.0000000;0.0000553
208.250015974045;80.0000000;80.0000042;0;2.320943E-05;80.0000000;-0.0000042
209.31251347065;80.0000000;80.0000638;-7.108439E-06;4.111442E-05;80.0000000;-0.0000638
210.375010967255;80.0000000;80.0000638;-7.108439E-06;1.602411E-05;80.0000000;-0.0000638
211.43750846386;80.0000000;79.9999447;6.16139E-06;-4.703731E-05;80.0000000;0.0000553
212.500005960464;80.0000000;79.9999447;6.16139E-06;-1.833252E-05;80.0000000;0.0000553
213.562518358231;80.0000000;80.0000042;0;3.079445E-05;80.0000000;-0.0000042
214.625015854836;80.0000000;80.0000638;-7.108439E-06;6.497974E-05;80.0000000;-0.0000638
215.68751335144;80.0000000;80.0000638;-7.108439E-06;2.251154E-05;80.0000000;-0.0000638
216.750010848045;80.0000000;79.9999447;6.16139E-06;-3.76448E-05;80.0000000;0.0000553
217.81250834465;80.0000000;79.9999447;6.16139E-06;-1.304164E-05;80.0000000;0.0000553
218.875005841255;80.0000000;79.9999447;6.16139E-06;-1.385338E-05;80.0000000;0.0000553
219.937518239021;80.0000000;79.9999447;6.16139E-06;-4.799358E-06;80.0000000;0.0000553
221.000015735626;80.0000000;79.9999447;6.16139E-06;-1.870523E-06;80.0000000;0.0000553
222.062513232231;80.0000000;79.9999447;6.16139E-06;-6.480228E-07;80.0000000;0.0000553
223.125010728836;80.0000000;80.0000042;0;2.293723E-05;80.0000000;-0.0000042
224.187508225441;80.0000000;80.0000638;-7.108439E-06;2.859415E-05;80.0000000;-0.0000638
225.250005722046;80.0000000;79.9999447;6.16139E-06;-6.529652E-05;80.0000000;0.0000553
226.312518119812;80.0000000;79.9999447;6.16139E-06;-2.674858E-05;80.0000000;0.0000553
227.375015616417;80.0000000;79.9999447;6.16139E-06;-1.042511E-05;80.0000000;0.0000553
228.437513113022;80.0000000;79.9999447;6.16139E-06;-7.280365E-06;80.0000000;0.0000553
229.500010609627;80.0000000;80.0000042;0;2.65121E-05;80.0000000;-0.0000042
230.562508106232;80.0000000;80.0000042;0;9.184836E-06;80.0000000;-0.0000042
231.625005602837;80.0000000;80.0000042;0;1.247203E-05;80.0000000;-0.0000042
232.687518000603;80.0000000;79.9999447;6.16139E-06;-4.309272E-05;80.0000000;0.0000553
233.750015497208;80.0000000;79.9999447;6.16139E-06;-1.679514E-05;80.0000000;0.0000553
234.812512993813;80.0000000;80.0000042;0;3.132706E-05;80.0000000;-0.0000042
235.875010490417;80.0000000;80.0000042;0;1.220954E-05;80.0000000;-0.0000042
236.937507987022;80.0000000;80.0000042;0;4.229867E-06;80.0000000;-0.0000042
238.000005483627;80.0000000;79.9999447;6.16139E-06;-2.154122E-05;80.0000000;0.0000553
239.062517881393;80.0000000;79.9999447;6.16139E-06;-7.462728E-06;80.0000000;0.0000553
240.125015377998;80.0000000;79.9999447;6.16139E-06;-2.908556E-06;80.0000000;0.0000553
241.187512874603;80.0000000;80.0000042;0;2.218215E-05;80.0000000;-0.0000042
242.250010371208;80.0000000;80.0000638;-7.108439E-06;4.171913E-05;80.0000000;-0.0000638
243.312507867813;80.0000000;80.0000639;-7.119581E-06;-1.520697E-05;80.0000000;-0.0000639
244.375020265579;80.0000000;80.0000639;-7.119581E-06;-5.926832E-06;80.0000000;-0.0000639
245.437517762184;80.0000000;80.0000042;0;-2.360488E-05;80.0000000;-0.0000042
246.500015258789;80.0000000;80.0000638;-7.108439E-06;4.377791E-05;80.0000000;-0.0000638
247.562512755394;80.0000000;80.0000638;-7.108439E-06;1.516639E-05;80.0000000;-0.0000638
248.625010251999;80.0000000;80.0000638;-7.108439E-06;5.911016E-06;80.0000000;-0.0000638
249.687507748604;80.0000000;80.0000638;-7.108439E-06;2.047809E-06;80.0000000;-0.0000638
250.750005245209;80.0000000;79.9999447;6.16139E-06;-9.330559E-05;80.0000000;0.0000553
251.812517642975;80.0000000;79.9999447;6.16139E-06;-3.232473E-05;80.0000000;0.0000553
252.875000238419;80.0000000;80.0000638;-7.108439E-06;8.216815E-05;80.0000000;-0.0000638
253.937512636185;80.0000000;80.0000638;-7.108439E-06;2.846629E-05;80.0000000;-0.0000638
255.000025033951;80.0000000;80.0000638;-7.108439E-06;1.109457E-05;80.0000000;-0.0000638
256.062507629395;80.0000000;80.0000638;-7.108439E-06;3.843598E-06;80.0000000;-0.0000638
257.125020027161;80.0000000;80.0000638;-7.108439E-06;1.49802E-06;80.0000000;-0.0000638
258.187502622604;80.0000000;80.0000638;-7.108439E-06;5.189733E-07;80.0000000;-0.0000638
259.25001502037;80.0000000;79.9999447;6.16139E-06;-5.20186E-05;80.0000000;0.0000553
260.312527418137;80.0000000;79.9998851;1.280188E-05;-5.109506E-05;80.0000000;0.0001149
261.37501001358;80.0000000;79.9999446;6.172531E-06;2.709834E-05;80.0000000;0.0000554
262.437522411346;80.0000000;80.0000638;-7.108439E-06;7.014242E-05;80.0000000;-0.0000638
263.50000500679;80.0000000;80.0000638;-7.108439E-06;2.733761E-05;80.0000000;-0.0000638
264.562517404556;80.0000000;80.0001234;-1.374892E-05;5.132981E-05;80.0000000;-0.0001234
265.625;80.0000000;80.0000639;-7.119581E-06;-3.184285E-06;80.0000000;-0.0000639
266.687512397766;80.0000000;79.9999447;6.16139E-06;-5.990097E-05;80.0000000;0.0000553
267.750024795532;80.0000000;79.9999447;6.16139E-06;-2.334606E-05;80.0000000;0.0000553
268.812507390976;80.0000000;80.0000638;-7.108439E-06;5.96165E-05;80.0000000;-0.0000638
269.875019788742;80.0000000;80.0000638;-7.108439E-06;2.323519E-05;80.0000000;-0.0000638
270.937502384186;80.0000000;80.0000638;-7.108439E-06;8.049587E-06;80.0000000;-0.0000638
272.000014781952;80.0000000;79.9999447;6.16139E-06;-6.714387E-05;80.0000000;0.0000553
273.062527179718;80.0000000;80.0000042;0;6.495929E-06;80.0000000;-0.0000042
274.125009775162;80.0000000;80.0000042;0;5.792816E-06;80.0000000;-0.0000042
275.187522172928;80.0000000;80.0000042;0;2.00686E-06;80.0000000;-0.0000042
276.250004768372;80.0000000;79.9999447;6.16139E-06;-3.223612E-05;80.0000000;0.0000553
277.312517166138;80.0000000;79.9999447;6.16139E-06;-1.116786E-05;80.0000000;0.0000553
278.375029563904;80.0000000;80.0000042;0;4.853628E-05;80.0000000;-0.0000042
279.437512159348;80.0000000;80.0000042;0;1.681488E-05;80.0000000;-0.0000042
280.500024557114;80.0000000;80.0000638;-7.108439E-06;3.268586E-05;80.0000000;-0.0000638
281.562507152557;80.0000000;80.0000638;-7.108439E-06;1.132367E-05;80.0000000;-0.0000638
282.625019550323;80.0000000;79.9999447;6.16139E-06;-6.214423E-05;80.0000000;0.0000553
283.687502145767;80.0000000;79.9999447;6.16139E-06;-2.152921E-05;80.0000000;0.0000553
284.750014543533;80.0000000;80.0000042;0;3.862146E-05;80.0000000;-0.0000042
285.812526941299;80.0000000;80.0000042;0;1.338E-05;80.0000000;-0.0000042
286.875009536743;80.0000000;80.0000638;-7.108439E-06;3.134714E-05;80.0000000;-0.0000638
287.937521934509;80.0000000;79.9999447;6.16139E-06;-6.034868E-05;80.0000000;0.0000553
289.000004529953;80.0000000;79.9998851;1.280188E-05;-6.072855E-05;80.0000000;0.0001149
290.062516927719;80.0000000;79.9998851;1.280188E-05;-2.103876E-05;80.0000000;0.0001149
291.125029325485;80.0000000;79.9998851;1.280188E-05;-8.19974E-06;80.0000000;0.0001149
292.187511920929;80.0000000;79.9998851;1.280188E-05;-2.840713E-06;80.0000000;0.0001149
293.250024318695;80.0000000;80.0000042;0;6.545041E-05;80.0000000;-0.0000042
294.312506914139;80.0000000;80.0000638;-7.108439E-06;5.988259E-05;80.0000000;-0.0000638
295.375019311905;80.0000000;80.0000043;0;-2.954999E-05;80.0000000;-0.0000043
296.437501907349;80.0000000;79.9999447;6.16139E-06;-4.331105E-05;80.0000000;0.0000553
297.500014305115;80.0000000;79.9999447;6.16139E-06;-1.688024E-05;80.0000000;0.0000553
298.562526702881;80.0000000;79.9999447;6.16139E-06;-5.847979E-06;80.0000000;0.0000553
299.625009298325;80.0000000;80.0000042;0;3.073906E-05;80.0000000;-0.0000042
300.687521696091;80.0000000;80.0000042;0;1.064922E-05;80.0000000;-0.0000042
301.750004291534;80.0000000;80.0000638;-7.108439E-06;4.135846E-05;80.0000000;-0.0000638
302.812516689301;80.0000000;80.0000043;0;-3.268414E-05;80.0000000;-0.0000043
303.875029087067;80.0000000;80.0000043;0;-1.738166E-05;80.0000000;-0.0000043
304.93751168251;80.0000000;80.0000043;0;-6.02169E-06;80.0000000;-0.0000043
306.000024080276;80.0000000;79.9999447;6.16139E-06;-3.955491E-05;80.0000000;0.0000553
307.06250667572;80.0000000;80.0000042;0;2.522975E-05;80.0000000;-0.0000042
308.125019073486;80.0000000;79.9999447;6.16139E-06;-2.212712E-05;80.0000000;0.0000553
309.187531471252;80.0000000;80.0000042;0;1.294744E-05;80.0000000;-0.0000042
310.250014066696;80.0000000;80.0000638;-7.108439E-06;4.225418E-05;80.0000000;-0.0000638
