time [ms];Setpoint position [mm];Actual position value encoder channel 1 [mm];Actual velocity value encoder channel 1 [m/s];Target position CiA402 [mm]
8109.74979400635;80.0000000;80.0000639;-3.066412E-05;80.0000000
8110.50033569336;80.0000000;80.0000639;-1.51257E-05;80.0000000
8111.24992370605;80.0000000;80.0000043;-4.053482E-05;80.0000000
8112.00046539307;80.0000000;80.0000043;-1.999462E-05;80.0000000
8112.75005340576;80.0000000;80.0000043;-9.862747E-06;80.0000000
8113.49964141846;80.0000000;80.0000043;-4.864998E-06;80.0000000
8114.25018310547;80.0000000;80.0000043;-2.399758E-06;80.0000000
8114.99977111816;80.0000000;80.0000043;-1.183729E-06;80.0000000
8115.75031280518;80.0000000;80.0000043;-5.838984E-07;80.0000000
8116.49990081787;80.0000000;80.0000043;-2.880197E-07;80.0000000
8117.25044250488;80.0000000;80.0000043;-1.420715E-07;80.0000000
8118.00003051758;80.0000000;80.0000043;-7.007964E-08;80.0000000
8118.74961853027;80.0000000;79.9999447;-4.712593E-05;80.0000000
8119.50016021729;80.0000000;79.9999447;-2.324582E-05;80.0000000
8120.24974822998;80.0000000;79.9999447;-1.146647E-05;80.0000000
8121.00028991699;80.0000000;79.9998851;-3.872983E-05;80.0000000
8121.74987792969;80.0000000;79.9998851;-3.897489E-05;80.0000000
8122.5004196167;80.0000000;79.9998851;-1.922515E-05;80.0000000
8123.25000762939;80.0000000;79.9998851;-1.825367E-05;80.0000000
8123.99959564209;80.0000000;79.9999446;2.034559E-05;80.0000000
8124.7501373291;80.0000000;79.9999446;2.402995E-05;80.0000000
8125.4997253418;80.0000000;79.9998851;-1.749632E-05;80.0000000
8126.25026702881;80.0000000;80.0000042;6.781052E-05;80.0000000
8126.9998550415;80.0000000;80.0000042;3.344891E-05;80.0000000
8127.75039672852;80.0000000;80.0000639;4.912656E-05;80.0000000
8128.49998474121;80.0000000;80.0001234;5.358225E-05;80.0000000
8129.25052642822;80.0000000;80.0001234;2.643053E-05;80.0000000
8130.00011444092;80.0000000;80.0001234;1.826099E-05;80.0000000
8130.74970245361;80.0000000;80.0000639;-2.034197E-05;80.0000000
8131.50024414063;80.0000000;80.0000043;-5.712545E-05;80.0000000
8132.24983215332;80.0000000;80.0000043;-2.817828E-05;80.0000000
8133.00037384033;80.0000000;80.0000043;-1.389951E-05;80.0000000
8133.74996185303;80.0000000;80.0000043;-6.856213E-06;80.0000000
8134.50050354004;80.0000000;80.0000043;-3.381965E-06;80.0000000
8135.25009155273;80.0000000;79.9999447;-5.4646E-05;80.0000000
